parent,child,mutual
eukaryotic cell,myeloid cell,0
eukaryotic cell,myeloid dendritic cell,0
eukaryotic cell,myeloid leukocyte,0
eukaryotic cell,myocyte,0
eukaryotic cell,myocytes smooth muscle,0
eukaryotic cell,nematoblast,0
eukaryotic cell,nephrocyte,0
eukaryotic cell,nephrogenic mesenchyme stem cell,0
eukaryotic cell,nerve cell,0
eukaryotic cell,neural cell,0
eukaryotic cell,neural stem cell,0
eukaryotic cell,neuron,0
eukaryotic cell,neuron of cerebral cortex,0
eukaryotic cell,neuron of the forebrain,0
eukaryotic cell,neuronal stem cell,0
eukaryotic cell,nonkeratinized cell of stratum corneum of esophageal epithelium,0
eukaryotic cell,nsc,0
eukaryotic cell,nucleate cell,0
eukaryotic cell,pdc,0
eukaryotic cell,peripheral blood mononuclear cell,0
eukaryotic cell,phagocyte,0
eukaryotic cell,phagocyte sensu nematoda and protostomia,0
eukaryotic cell,phagocyte sensu vertebrata,0
eukaryotic cell,plasmacytoid dendritic cell,0
eukaryotic cell,plasmacytoid monocyte,0
eukaryotic cell,plasmacytoid t cell,0
eukaryotic cell,polynuclear cells,0
eukaryotic cell,precursor cell,0
eukaryotic cell,professional antigen presenting cell,0
eukaryotic cell,progenitor cell,0
eukaryotic cell,renal filtration cell,0
eukaryotic cell,retinal bipolar neuron,0
eukaryotic cell,retinal cell,0
eukaryotic cell,secretory cell,0
eukaryotic cell,sensory neuron,0
eukaryotic cell,single nucleate cell,0
eukaryotic cell,skin keratinocyte,0
eukaryotic cell,smcs,0
eukaryotic cell,smooth muscle cell,0
eukaryotic cell,smooth muscle cell of bladder,0
eukaryotic cell,smooth muscle fiber,0
eukaryotic cell,spermatid,0
eukaryotic cell,squamous epithelial cell,0
eukaryotic cell,stem cell,0
eukaryotic cell,stem cells mesenchymal,0
eukaryotic cell,stratified epithelial cell,0
eukaryotic cell,stuff accumulating cell,0
eukaryotic cell,t cell,0
eukaryotic cell,t lymphocyte,0
eukaryotic cell,t-associated plasma cell,0
eukaryotic cell,t-cell,0
eukaryotic cell,t-lymphocyte,0
eukaryotic cell,tip cell,0
eukaryotic cell,type 1 dc,0
eukaryotic cell,type 2 dc,0
eukaryotic cell,type 4 cone bipolar cell sensu mus,0
eukaryotic cell,visceral muscle cell,0
eukaryotic cell,visual system neuron,0
eukaryotic cell,wbc,0
eukaryotic cell,white blood cell,0
excretory cell,garland nephrocyte,0
excretory cell,nephrocyte,0
excretory cell,renal filtration cell,0
forebrain neuron,cerebral cortex neuron,0
forebrain neuron,cortical neuron,0
forebrain neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
forebrain neuron,it neuron,0
forebrain neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
forebrain neuron,l23-6 it projecting neuron,0
forebrain neuron,l6 intratelencephalic projecting glutamatergic neuron,0
forebrain neuron,l6 it,0
forebrain neuron,neuron of cerebral cortex,0
forebrain neuron,neuron of the forebrain,1
garland cell,garland nephrocyte,0
general ecto-epithelial cell,cell of epidermis,0
general ecto-epithelial cell,corneal epithelial cell,0
general ecto-epithelial cell,epidermal cell,0
general ecto-epithelial cell,epidermal keratinocyte,0
general ecto-epithelial cell,epithelial cell of cornea,0
general ecto-epithelial cell,epithelial cell of skin,0
general ecto-epithelial cell,hair follicle cell,0
general ecto-epithelial cell,hair follicular keratinocyte,0
general ecto-epithelial cell,keratinocyte,0
general ecto-epithelial cell,skin keratinocyte,0
germ cell,germ line cell,1
germ cell,male germ cell,0
germ cell,spermatid,0
germ line cell,germ cell,1
germ line cell,male germ cell,0
germ line cell,spermatid,0
glandular epithelial cell of endometrium,endometrial glandular epithelial cell,1
glandular epithelial cell of endometrium,epithelial cell of endometrial gland,1
glutamatergic neuron,geniculate ganglion vglut2 neuron,0
glutamatergic neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
glutamatergic neuron,it neuron,0
glutamatergic neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
glutamatergic neuron,l23-6 it projecting neuron,0
glutamatergic neuron,l6 intratelencephalic projecting glutamatergic neuron,0
haematopoietic cell,alpha-beta t cell,0
haematopoietic cell,alpha-beta t lymphocyte,0
haematopoietic cell,alpha-beta t-cell,0
haematopoietic cell,alpha-beta t-lymphocyte,0
haematopoietic cell,apc,0
haematopoietic cell,cd11b-positive dendritic cell,0
haematopoietic cell,cd11ccd123- dc,0
haematopoietic cell,cd141-positive myeloid dendritic cell,0
haematopoietic cell,cd1a dermal dc,0
haematopoietic cell,cd1a-positive dermal dendritic cell,0
haematopoietic cell,cd3e-positive t cell,0
haematopoietic cell,cd3epsilon t cell,0
haematopoietic cell,cdc,0
haematopoietic cell,circulating angiogenic cell,0
haematopoietic cell,conventional dendritic cell,0
haematopoietic cell,dc1,0
haematopoietic cell,dc2,0
haematopoietic cell,dendritic cell,0
haematopoietic cell,dermal dendritic cell,0
haematopoietic cell,immature cd1a-positive dermal dendritic cell,0
haematopoietic cell,immature conventional dendritic cell,0
haematopoietic cell,immature dermal dendritic cell,0
haematopoietic cell,immature myeloid dendritic cell,0
haematopoietic cell,immature t cell,0
haematopoietic cell,leucocyte,0
haematopoietic cell,leukocyte,0
haematopoietic cell,lymphocyte,0
haematopoietic cell,lymphoid dendritic cell,0
haematopoietic cell,mature alpha-beta t cell,0
haematopoietic cell,mature alpha-beta t lymphocyte,0
haematopoietic cell,mature alpha-beta t-cell,0
haematopoietic cell,mature alpha-beta t-lymphocyte,0
haematopoietic cell,mature t-cell,0
haematopoietic cell,mdc,0
haematopoietic cell,mononuclear leukocyte,0
haematopoietic cell,mononuclear phagocyte,0
haematopoietic cell,myeloid cell,0
haematopoietic cell,myeloid dendritic cell,0
haematopoietic cell,myeloid leukocyte,0
haematopoietic cell,peripheral blood mononuclear cell,0
haematopoietic cell,phagocyte,0
haematopoietic cell,phagocyte sensu vertebrata,0
haematopoietic cell,plasmacytoid dendritic cell,0
haematopoietic cell,plasmacytoid monocyte,0
haematopoietic cell,plasmacytoid t cell,0
haematopoietic cell,t cell,0
haematopoietic cell,t lymphocyte,0
haematopoietic cell,t-associated plasma cell,0
haematopoietic cell,t-cell,0
haematopoietic cell,t-lymphocyte,0
haematopoietic cell,type 1 dc,0
haematopoietic cell,type 2 dc,0
haematopoietic cell,wbc,0
haematopoietic cell,white blood cell,0
haemopoietic cell,alpha-beta t cell,0
haemopoietic cell,alpha-beta t lymphocyte,0
haemopoietic cell,alpha-beta t-cell,0
haemopoietic cell,alpha-beta t-lymphocyte,0
haemopoietic cell,apc,0
haemopoietic cell,cd11b-positive dendritic cell,0
haemopoietic cell,cd11ccd123- dc,0
haemopoietic cell,cd141-positive myeloid dendritic cell,0
haemopoietic cell,cd1a dermal dc,0
haemopoietic cell,cd1a-positive dermal dendritic cell,0
haemopoietic cell,cd3e-positive t cell,0
haemopoietic cell,cd3epsilon t cell,0
haemopoietic cell,cdc,0
haemopoietic cell,circulating angiogenic cell,0
haemopoietic cell,conventional dendritic cell,0
haemopoietic cell,dc1,0
haemopoietic cell,dc2,0
haemopoietic cell,dendritic cell,0
haemopoietic cell,dermal dendritic cell,0
haemopoietic cell,immature cd1a-positive dermal dendritic cell,0
haemopoietic cell,immature conventional dendritic cell,0
haemopoietic cell,immature dermal dendritic cell,0
haemopoietic cell,immature myeloid dendritic cell,0
haemopoietic cell,immature t cell,0
haemopoietic cell,immune cell,0
haemopoietic cell,leucocyte,0
haemopoietic cell,leukocyte,0
haemopoietic cell,lymphocyte,0
haemopoietic cell,lymphoid dendritic cell,0
haemopoietic cell,mature alpha-beta t cell,0
haemopoietic cell,mature alpha-beta t lymphocyte,0
haemopoietic cell,mature alpha-beta t-cell,0
haemopoietic cell,mature alpha-beta t-lymphocyte,0
haemopoietic cell,mature t-cell,0
haemopoietic cell,mdc,0
haemopoietic cell,mononuclear phagocyte,0
haemopoietic cell,myeloid cell,0
haemopoietic cell,myeloid dendritic cell,0
haemopoietic cell,myeloid leukocyte,0
haemopoietic cell,peripheral blood mononuclear cell,0
haemopoietic cell,phagocyte,0
haemopoietic cell,phagocyte sensu vertebrata,0
haemopoietic cell,plasmacytoid dendritic cell,0
haemopoietic cell,plasmacytoid monocyte,0
haemopoietic cell,plasmacytoid t cell,0
haemopoietic cell,t cell,0
haemopoietic cell,t lymphocyte,0
haemopoietic cell,t-associated plasma cell,0
haemopoietic cell,t-cell,0
haemopoietic cell,t-lymphocyte,0
haemopoietic cell,type 1 dc,0
haemopoietic cell,type 2 dc,0
haemopoietic cell,wbc,0
haemopoietic cell,white blood cell,0
hair follicle cell,hair follicular keratinocyte,0
hematopoietic cell,alpha-beta t cell,0
hematopoietic cell,alpha-beta t lymphocyte,0
hematopoietic cell,alpha-beta t-cell,0
hematopoietic cell,alpha-beta t-lymphocyte,0
hematopoietic cell,apc,0
hematopoietic cell,cd11b-positive dendritic cell,0
hematopoietic cell,cd11ccd123- dc,0
hematopoietic cell,cd141-positive myeloid dendritic cell,0
hematopoietic cell,cd1a dermal dc,0
hematopoietic cell,cd1a-positive dermal dendritic cell,0
hematopoietic cell,cd3e-positive t cell,0
hematopoietic cell,cd3epsilon t cell,0
hematopoietic cell,cdc,0
hematopoietic cell,circulating angiogenic cell,0
hematopoietic cell,conventional dendritic cell,0
hematopoietic cell,dc1,0
hematopoietic cell,dc2,0
hematopoietic cell,dendritic cell,0
hematopoietic cell,dermal dendritic cell,0
hematopoietic cell,haematopoietic cell,0
hematopoietic cell,haemopoietic cell,0
hematopoietic cell,hemopoietic cell,0
hematopoietic cell,immature cd1a-positive dermal dendritic cell,0
hematopoietic cell,immature conventional dendritic cell,0
hematopoietic cell,immature dermal dendritic cell,0
hematopoietic cell,immature myeloid dendritic cell,0
hematopoietic cell,immature t cell,0
hematopoietic cell,immune cell,0
hematopoietic cell,leucocyte,0
hematopoietic cell,leukocyte,0
hematopoietic cell,lymphocyte,0
hematopoietic cell,lymphoid dendritic cell,0
hematopoietic cell,mature alpha-beta t cell,0
hematopoietic cell,mature alpha-beta t lymphocyte,0
hematopoietic cell,mature alpha-beta t-cell,0
hematopoietic cell,mature alpha-beta t-lymphocyte,0
hematopoietic cell,mature t-cell,0
hematopoietic cell,mdc,0
hematopoietic cell,mononuclear leukocyte,0
hematopoietic cell,mononuclear phagocyte,0
hematopoietic cell,myeloid cell,0
hematopoietic cell,myeloid dendritic cell,0
hematopoietic cell,myeloid leukocyte,0
hematopoietic cell,peripheral blood mononuclear cell,0
hematopoietic cell,phagocyte,0
hematopoietic cell,phagocyte sensu vertebrata,0
hematopoietic cell,plasmacytoid dendritic cell,0
hematopoietic cell,plasmacytoid monocyte,0
hematopoietic cell,plasmacytoid t cell,0
hematopoietic cell,t cell,0
hematopoietic cell,t lymphocyte,0
hematopoietic cell,t-associated plasma cell,0
hematopoietic cell,t-cell,0
hematopoietic cell,t-lymphocyte,0
hematopoietic cell,type 1 dc,0
hematopoietic cell,type 2 dc,0
hematopoietic cell,wbc,0
hematopoietic cell,white blood cell,0
hemopoietic cell,alpha-beta t cell,0
hemopoietic cell,alpha-beta t lymphocyte,0
hemopoietic cell,alpha-beta t-cell,0
hemopoietic cell,alpha-beta t-lymphocyte,0
hemopoietic cell,apc,0
hemopoietic cell,cd11b-positive dendritic cell,0
hemopoietic cell,cd11ccd123- dc,0
hemopoietic cell,cd141-positive myeloid dendritic cell,0
hemopoietic cell,cd1a dermal dc,0
hemopoietic cell,cd1a-positive dermal dendritic cell,0
hemopoietic cell,cd3e-positive t cell,0
hemopoietic cell,cd3epsilon t cell,0
hemopoietic cell,cdc,0
hemopoietic cell,circulating angiogenic cell,0
hemopoietic cell,conventional dendritic cell,0
hemopoietic cell,dc1,0
hemopoietic cell,dc2,0
hemopoietic cell,dendritic cell,0
hemopoietic cell,dermal dendritic cell,0
hemopoietic cell,immature cd1a-positive dermal dendritic cell,0
hemopoietic cell,immature conventional dendritic cell,0
hemopoietic cell,immature dermal dendritic cell,0
hemopoietic cell,immature myeloid dendritic cell,0
hemopoietic cell,immature t cell,0
hemopoietic cell,leucocyte,0
hemopoietic cell,leukocyte,0
hemopoietic cell,lymphocyte,0
hemopoietic cell,lymphoid dendritic cell,0
hemopoietic cell,mature alpha-beta t cell,0
hemopoietic cell,mature alpha-beta t lymphocyte,0
hemopoietic cell,mature alpha-beta t-cell,0
hemopoietic cell,mature alpha-beta t-lymphocyte,0
hemopoietic cell,mature t-cell,0
hemopoietic cell,mdc,0
hemopoietic cell,mononuclear leukocyte,0
hemopoietic cell,mononuclear phagocyte,0
hemopoietic cell,myeloid cell,0
hemopoietic cell,myeloid dendritic cell,0
hemopoietic cell,myeloid leukocyte,0
hemopoietic cell,peripheral blood mononuclear cell,0
hemopoietic cell,phagocyte,0
hemopoietic cell,phagocyte sensu vertebrata,0
hemopoietic cell,plasmacytoid dendritic cell,0
hemopoietic cell,plasmacytoid monocyte,0
hemopoietic cell,plasmacytoid t cell,0
hemopoietic cell,t cell,0
hemopoietic cell,t lymphocyte,0
hemopoietic cell,t-associated plasma cell,0
hemopoietic cell,t-cell,0
hemopoietic cell,t-lymphocyte,0
hemopoietic cell,type 1 dc,0
hemopoietic cell,type 2 dc,0
hemopoietic cell,wbc,0
hemopoietic cell,white blood cell,0
immature dermal dendritic cell,immature cd1a-positive dermal dendritic cell,0
immature myeloid dendritic cell,immature cd1a-positive dermal dendritic cell,0
immune cell,alpha-beta t cell,0
immune cell,alpha-beta t lymphocyte,0
immune cell,alpha-beta t-cell,0
immune cell,alpha-beta t-lymphocyte,0
immune cell,apc,0
immune cell,cd11b-positive dendritic cell,0
immune cell,cd11ccd123- dc,0
immune cell,cd141-positive myeloid dendritic cell,0
immune cell,cd1a dermal dc,0
immune cell,cd1a-positive dermal dendritic cell,0
immune cell,cd3e-positive t cell,0
immune cell,cd3epsilon t cell,0
immune cell,cdc,0
immune cell,conventional dendritic cell,0
immune cell,dc1,0
immune cell,dc2,0
immune cell,dendritic cell,0
immune cell,dendritic reticular cell,0
immune cell,dermal dendritic cell,0
immune cell,haematopoietic cell,0
immune cell,immature cd1a-positive dermal dendritic cell,0
immune cell,immature conventional dendritic cell,0
immune cell,immature dermal dendritic cell,0
immune cell,immature myeloid dendritic cell,0
immune cell,immature t cell,0
immune cell,interferon-producing cell,0
immune cell,leucocyte,0
immune cell,leukocyte,1
immune cell,lymphocyte,0
immune cell,lymphoid dendritic cell,0
immune cell,mature alpha-beta t cell,0
immune cell,mature alpha-beta t lymphocyte,0
immune cell,mature alpha-beta t-cell,0
immune cell,mature alpha-beta t-lymphocyte,0
immune cell,mature t-cell,0
immune cell,mdc,0
immune cell,mononuclear leukocyte,0
immune cell,mononuclear phagocyte,0
immune cell,myeloid cell,0
immune cell,myeloid dendritic cell,0
immune cell,myeloid leukocyte,0
immune cell,pdc,0
immune cell,peripheral blood mononuclear cell,0
immune cell,phagocyte,0
immune cell,phagocyte sensu nematoda and protostomia,0
immune cell,phagocyte sensu vertebrata,0
immune cell,plasmacytoid dendritic cell,0
immune cell,plasmacytoid monocyte,0
immune cell,plasmacytoid t cell,0
immune cell,professional antigen presenting cell,0
immune cell,t cell,0
immune cell,t lymphocyte,0
immune cell,t-associated plasma cell,0
immune cell,t-cell,0
immune cell,t-lymphocyte,0
immune cell,type 1 dc,0
immune cell,type 2 dc,0
immune cell,wbc,1
immune cell,white blood cell,0
input neuron,afferent neuron,1
input neuron,geniculate ganglion vglut2 neuron,0
input neuron,sensory neuron,1
interferon-producing cell,plasmacytoid dendritic cell,0
intratelencephalic-projecting glutamatergic cortical neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
intratelencephalic-projecting glutamatergic cortical neuron,l23-6 it projecting neuron,0
intratelencephalic-projecting glutamatergic cortical neuron,l6 intratelencephalic projecting glutamatergic neuron,0
it neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
it neuron,l23-6 it projecting neuron,0
it neuron,l6 it,0
keratin accumulating cell,epidermal keratinocyte,0
keratin accumulating cell,hair follicular keratinocyte,0
keratin accumulating cell,keratinocyte,0
keratin accumulating cell,skin keratinocyte,0
keratinizing barrier epithelial cell,epidermal keratinocyte,0
keratinizing barrier epithelial cell,keratinocyte,0
keratinizing barrier epithelial cell,skin keratinocyte,0
keratinocyte,epidermal keratinocyte,0
keratinocyte,epithelial cell of stratum corneum of esophageal epithelium,0
keratinocyte,hair follicular keratinocyte,0
keratinocyte,keratincyte of epidermis,0
keratinocyte,skin keratinocyte,0
l23-6 intratelencephalic projecting glutamatergic neuron,l23-6 it projecting neuron,1
l23-6 intratelencephalic projecting glutamatergic neuron,l6 intratelencephalic projecting glutamatergic neuron,0
l23-6 intratelencephalic projecting glutamatergic neuron,l6 it,0
l23-6 it projecting neuron,l23-6 intratelencephalic projecting glutamatergic neuron,1
l6 it,l6 intratelencephalic projecting glutamatergic neuron,0
leucocyte,alpha-beta t cell,0
leucocyte,alpha-beta t lymphocyte,0
leucocyte,alpha-beta t-cell,0
leucocyte,alpha-beta t-lymphocyte,0
leucocyte,apc,0
leucocyte,cd11b-positive dendritic cell,0
leucocyte,cd11ccd123- dc,0
leucocyte,cd141-positive myeloid dendritic cell,0
leucocyte,cd1a dermal dc,0
leucocyte,cd1a-positive dermal dendritic cell,0
leucocyte,cd3e-positive t cell,0
leucocyte,cd3epsilon t cell,0
leucocyte,cdc,0
leucocyte,conventional dendritic cell,0
leucocyte,dc1,0
leucocyte,dc2,0
leucocyte,dendritic cell,0
leucocyte,dendritic reticular cell,0
leucocyte,dermal dendritic cell,0
leucocyte,immature cd1a-positive dermal dendritic cell,0
leucocyte,immature conventional dendritic cell,0
leucocyte,immature dermal dendritic cell,0
leucocyte,immature myeloid dendritic cell,0
leucocyte,immature t cell,0
leucocyte,interferon-producing cell,0
leucocyte,lymphocyte,0
leucocyte,lymphoid dendritic cell,0
leucocyte,mature alpha-beta t cell,0
leucocyte,mature alpha-beta t lymphocyte,0
leucocyte,mature alpha-beta t-cell,0
leucocyte,mature alpha-beta t-lymphocyte,0
leucocyte,mature t-cell,0
leucocyte,mdc,0
leucocyte,mononuclear cell,1
leucocyte,mononuclear leukocyte,0
leucocyte,mononuclear phagocyte,0
leucocyte,myeloid cell,0
leucocyte,myeloid dendritic cell,0
leucocyte,myeloid leukocyte,0
leucocyte,pdc,0
leucocyte,peripheral blood mononuclear cell,0
leucocyte,phagocyte,0
leucocyte,phagocyte sensu vertebrata,0
leucocyte,plasmacytoid dendritic cell,0
leucocyte,plasmacytoid monocyte,0
leucocyte,plasmacytoid t cell,0
leucocyte,professional antigen presenting cell,0
leucocyte,t cell,0
leucocyte,t lymphocyte,0
leucocyte,t-associated plasma cell,0
leucocyte,t-cell,0
leucocyte,t-lymphocyte,0
leucocyte,type 1 dc,0
leucocyte,type 2 dc,0
leucocyte,wbc,1
leucocyte,white blood cell,1
leukocyte,alpha-beta t cell,0
leukocyte,alpha-beta t lymphocyte,0
leukocyte,alpha-beta t-cell,0
leukocyte,alpha-beta t-lymphocyte,0
leukocyte,apc,0
leukocyte,cd11b-positive dendritic cell,0
leukocyte,cd11ccd123- dc,0
leukocyte,cd141-positive myeloid dendritic cell,0
leukocyte,cd1a dermal dc,0
leukocyte,cd1a-positive dermal dendritic cell,0
leukocyte,cd3e-positive t cell,0
leukocyte,cd3epsilon t cell,0
leukocyte,cdc,0
leukocyte,conventional dendritic cell,0
leukocyte,dc1,0
leukocyte,dc2,0
leukocyte,dendritic cell,0
leukocyte,dendritic reticular cell,0
leukocyte,dermal dendritic cell,0
leukocyte,immature cd1a-positive dermal dendritic cell,0
leukocyte,immature conventional dendritic cell,0
leukocyte,immature dermal dendritic cell,0
leukocyte,immature myeloid dendritic cell,0
leukocyte,immature t cell,0
leukocyte,immune cell,1
leukocyte,interferon-producing cell,0
leukocyte,leucocyte,0
leukocyte,lymphocyte,0
leukocyte,lymphoid dendritic cell,0
leukocyte,mature alpha-beta t cell,0
leukocyte,mature alpha-beta t lymphocyte,0
leukocyte,mature alpha-beta t-cell,0
leukocyte,mature alpha-beta t-lymphocyte,0
leukocyte,mature t-cell,0
leukocyte,mdc,0
leukocyte,mononuclear cell,1
leukocyte,mononuclear leukocyte,0
leukocyte,mononuclear phagocyte,0
leukocyte,myeloid cell,0
leukocyte,myeloid dendritic cell,0
leukocyte,myeloid leukocyte,0
leukocyte,pdc,0
leukocyte,peripheral blood mononuclear cell,0
leukocyte,phagocyte,0
leukocyte,phagocyte sensu vertebrata,0
leukocyte,plasmacytoid dendritic cell,0
leukocyte,plasmacytoid monocyte,0
leukocyte,plasmacytoid t cell,0
leukocyte,professional antigen presenting cell,0
leukocyte,t cell,0
leukocyte,t lymphocyte,0
leukocyte,t-associated plasma cell,0
leukocyte,t-cell,0
leukocyte,t-lymphocyte,0
leukocyte,type 1 dc,0
leukocyte,type 2 dc,0
leukocyte,wbc,1
leukocyte,white blood cell,1
lower urinary tract cell,bladder cell,0
lower urinary tract cell,smooth muscle cell of bladder,0
lymphocyte,alpha-beta t cell,0
lymphocyte,alpha-beta t lymphocyte,0
lymphocyte,alpha-beta t-cell,0
lymphocyte,alpha-beta t-lymphocyte,0
lymphocyte,cd3e-positive t cell,0
lymphocyte,cd3epsilon t cell,0
lymphocyte,immature t cell,0
lymphocyte,mature alpha-beta t cell,0
lymphocyte,mature alpha-beta t lymphocyte,0
lymphocyte,mature alpha-beta t-cell,0
lymphocyte,mature alpha-beta t-lymphocyte,0
lymphocyte,mature t-cell,0
lymphocyte,plasmacytoid t cell,0
lymphocyte,t cell,0
lymphocyte,t lymphocyte,0
lymphocyte,t-associated plasma cell,0
lymphocyte,t-cell,0
lymphocyte,t-lymphocyte,0
male germ cell,spermatid,0
marrow stromal cells,bmsc,0
marrow stromal cells,bone marrow stromal cells,1
marrow stromal cells,smcs,0
mature alpha-beta t cell,mature alpha-beta t lymphocyte,0
mature alpha-beta t cell,mature alpha-beta t-cell,0
mature alpha-beta t cell,mature alpha-beta t-lymphocyte,0
mature alpha-beta t lymphocyte,mature alpha-beta t-cell,1
mature alpha-beta t-cell,mature alpha-beta t lymphocyte,1
mature alpha-beta t-cell,mature alpha-beta t-lymphocyte,1
mature alpha-beta t-lymphocyte,mature alpha-beta t lymphocyte,0
mature alpha-beta t-lymphocyte,mature alpha-beta t-cell,1
mature t-cell,mature alpha-beta t cell,0
mature t-cell,mature alpha-beta t lymphocyte,0
mature t-cell,mature alpha-beta t-cell,0
mature t-cell,mature alpha-beta t-lymphocyte,0
mdc,cd141-positive myeloid dendritic cell,0
mdc,immature myeloid dendritic cell,0
mdc,myeloid dendritic cell,1
mesenchymal precursor cell,angioblastic mesenchymal cell,0
mesenchymal precursor cell,bmsc,0
mesenchymal precursor cell,bone marrow stromal cells,0
mesenchymal precursor cell,cfu-f,0
mesenchymal precursor cell,colony-forming unit-fibroblast,0
mesenchymal precursor cell,marrow stromal cells,0
mesenchymal precursor cell,mesenchymal progenitor cells,1
mesenchymal precursor cell,mesenchymal stem cell,0
mesenchymal precursor cell,mesenchymal stromal cell,0
mesenchymal precursor cell,mesenchymal stromal cells,1
mesenchymal precursor cell,msc,0
mesenchymal precursor cell,nephrogenic mesenchyme stem cell,0
mesenchymal precursor cell,stem cells mesenchymal,1
mesenchymal progenitor cells,angioblastic mesenchymal cell,0
mesenchymal progenitor cells,cfu-f,0
mesenchymal progenitor cells,colony-forming unit-fibroblast,0
mesenchymal progenitor cells,mesenchymal precursor cell,1
mesenchymal progenitor cells,mesenchymal stem cell,0
mesenchymal progenitor cells,msc,0
mesenchymal progenitor cells,nephrogenic mesenchyme stem cell,0
mesenchymal progenitor cells,stem cells mesenchymal,1
mesenchymal stem cell,angioblastic mesenchymal cell,0
mesenchymal stem cell,bmsc,0
mesenchymal stem cell,bone marrow stromal cells,0
mesenchymal stem cell,cfu-f,0
mesenchymal stem cell,colony-forming unit-fibroblast,0
mesenchymal stem cell,marrow stromal cells,0
mesenchymal stem cell,msc,1
mesenchymal stem cell,nephrogenic mesenchyme stem cell,0
mesenchymal stem cell,stem cells mesenchymal,1
mesenchymal stromal cell,angioblastic mesenchymal cell,0
mesenchymal stromal cell,bmsc,0
mesenchymal stromal cell,bone marrow stromal cells,0
mesenchymal stromal cell,cfu-f,0
mesenchymal stromal cell,colony-forming unit-fibroblast,0
mesenchymal stromal cell,marrow stromal cells,0
mesenchymal stromal cell,mesenchymal stem cell,0
mesenchymal stromal cell,mesenchymal stromal cells,0
mesenchymal stromal cell,msc,1
mesenchymal stromal cell,smcs,0
mesenchymal stromal cell,stem cells mesenchymal,1
mesenchymal stromal cells,bmsc,0
mesenchymal stromal cells,bone marrow stromal cells,0
mesenchymal stromal cells,cfu-f,0
mesenchymal stromal cells,colony-forming unit-fibroblast,0
mesenchymal stromal cells,marrow stromal cells,0
mesenchymal stromal cells,mesenchymal precursor cell,1
mesenchymal stromal cells,mesenchymal progenitor cells,0
mesenchymal stromal cells,mesenchymal stem cell,0
mesenchymal stromal cells,msc,1
mesenchymal stromal cells,smcs,0
mesenchymal stromal cells,stem cells mesenchymal,1
mononuclear cell,alpha-beta t cell,0
mononuclear cell,alpha-beta t lymphocyte,0
mononuclear cell,alpha-beta t-cell,0
mononuclear cell,alpha-beta t-lymphocyte,0
mononuclear cell,apc,0
mononuclear cell,cd11b-positive dendritic cell,0
mononuclear cell,cd11ccd123- dc,0
mononuclear cell,cd141-positive myeloid dendritic cell,0
mononuclear cell,cd1a dermal dc,0
mononuclear cell,cd1a-positive dermal dendritic cell,0
mononuclear cell,cd3e-positive t cell,0
mononuclear cell,cd3epsilon t cell,0
mononuclear cell,cdc,0
mononuclear cell,conventional dendritic cell,0
mononuclear cell,dc1,0
mononuclear cell,dc2,0
mononuclear cell,dendritic cell,0
mononuclear cell,dendritic reticular cell,0
mononuclear cell,dermal dendritic cell,0
mononuclear cell,immature cd1a-positive dermal dendritic cell,0
mononuclear cell,immature conventional dendritic cell,0
mononuclear cell,immature dermal dendritic cell,0
mononuclear cell,immature myeloid dendritic cell,0
mononuclear cell,immature t cell,0
mononuclear cell,interferon-producing cell,0
mononuclear cell,leucocyte,1
mononuclear cell,leukocyte,1
mononuclear cell,lymphocyte,0
mononuclear cell,lymphoid dendritic cell,0
mononuclear cell,mature alpha-beta t cell,0
mononuclear cell,mature alpha-beta t lymphocyte,0
mononuclear cell,mature alpha-beta t-cell,0
mononuclear cell,mature alpha-beta t-lymphocyte,0
mononuclear cell,mature t-cell,0
mononuclear cell,mdc,0
mononuclear cell,mononuclear leukocyte,0
mononuclear cell,mononuclear phagocyte,0
mononuclear cell,myeloid cell,0
mononuclear cell,myeloid dendritic cell,0
mononuclear cell,myeloid leukocyte,0
mononuclear cell,pdc,0
mononuclear cell,peripheral blood mononuclear cell,0
mononuclear cell,plasmacytoid dendritic cell,0
mononuclear cell,plasmacytoid monocyte,0
mononuclear cell,plasmacytoid t cell,0
mononuclear cell,t cell,0
mononuclear cell,t lymphocyte,0
mononuclear cell,t-associated plasma cell,0
mononuclear cell,t-cell,0
mononuclear cell,t-lymphocyte,0
mononuclear cell,type 1 dc,0
mononuclear cell,type 2 dc,0
mononuclear leukocyte,alpha-beta t cell,0
mononuclear leukocyte,alpha-beta t lymphocyte,0
mononuclear leukocyte,alpha-beta t-cell,0
mononuclear leukocyte,alpha-beta t-lymphocyte,0
mononuclear leukocyte,cd11b-positive dendritic cell,0
mononuclear leukocyte,cd11ccd123- dc,0
mononuclear leukocyte,cd141-positive myeloid dendritic cell,0
mononuclear leukocyte,cd1a dermal dc,0
mononuclear leukocyte,cd1a-positive dermal dendritic cell,0
mononuclear leukocyte,cd3e-positive t cell,0
mononuclear leukocyte,cd3epsilon t cell,0
mononuclear leukocyte,conventional dendritic cell,0
mononuclear leukocyte,dc1,0
mononuclear leukocyte,dc2,0
